<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TIME>,<TSEClose>,<MarketValue>,<ShareCount>,,<OPENMarketValue>,<HIGHMarketValue>,<LOWMarketValue>,<CloseMarketValue>,<TseCloseMarketValue>,TradedOfTotalMarket
ABAD,d,20050302,0,485,485,474,477,167889,437971665,52,485,آباد,13831212,0,477,38160000000,80000000,,38800000000,38800000000,37920000000,38160000000,38160000000,4.133
ABAD,d,20050305,0,483,483,476,480,33653,88427949,21,477,آباد,13831215,0,480,38400000000,80000000,,38640000000,38640000000,38080000000,38400000000,38400000000,4.133
ABAD,d,20050306,0,481,484,476,480,111572,293001865,56,480,آباد,13831216,0,480,38400000000,80000000,,38480000000,38720000000,38080000000,38400000000,38400000000,4.135
ABAD,d,20050307,0,482,504,476,491,7076749,18638422057,94,480,آباد,13831217,0,491,39280000000,80000000,,38560000000,40320000000,38080000000,39280000000,39280000000,4.223
ABAD,d,20050308,0,515,515,515,515,144082,405878994,43,491,آباد,13831218,0,515,41200000000,80000000,,41200000000,41200000000,41200000000,41200000000,41200000000,4.225
ABAD,d,20050309,0,517,541,498,529,344037,994938147,99,515,آباد,13831219,0,529,42320000000,80000000,,41360000000,43280000000,39840000000,42320000000,42320000000,4.229
ABAD,d,20050312,0,529,538,506,524,310590,889848952,83,529,آباد,13831222,0,524,41920000000,80000000,,42320000000,43040000000,40480000000,41920000000,41920000000,4.233
ABAD,d,20050313,0,550,550,532,550,394747,1187105074,115,524,آباد,13831223,0,550,44000000000,80000000,,44000000000,44000000000,42560000000,44000000000,44000000000,4.238
ABAD,d,20050314,0,578,578,578,578,335285,1058494745,98,550,آباد,13831224,0,578,46240000000,80000000,,46240000000,46240000000,46240000000,46240000000,46240000000,4.242
ABAD,d,20050315,0,605,606,595,604,342141,1130265020,127,578,آباد,13831225,0,604,48320000000,80000000,,48400000000,48480000000,47600000000,48320000000,48320000000,4.247
ABAD,d,20050316,0,604,635,597,609,303799,1011704517,95,604,آباد,13831226,0,609,48720000000,80000000,,48320000000,50800000000,47760000000,48720000000,48720000000,4.25
ABAD,d,20050326,0,604,613,602,608,26960,89531130,10,609,آباد,13840106,0,608,48640000000,80000000,,48320000000,49040000000,48160000000,48640000000,48640000000,4.251
ABAD,d,20050327,0,637,638,627,627,25126,87598959,19,608,آباد,13840107,0,627,50160000000,80000000,,50960000000,51040000000,50160000000,50160000000,50160000000,4.251
ABAD,d,20050328,0,638,638,595,613,236115,790622131,105,627,آباد,13840108,0,613,49040000000,80000000,,51040000000,51040000000,47600000000,49040000000,49040000000,4.254
ABAD,d,20050329,0,584,613,582,584,135137,431712722,66,613,آباد,13840109,0,584,46720000000,80000000,,46720000000,49040000000,46560000000,46720000000,46720000000,4.256
ABAD,d,20050330,0,571,604,564,582,137586,437731987,57,584,آباد,13840110,0,582,46560000000,80000000,,45680000000,48320000000,45120000000,46560000000,46560000000,4.257
ABAD,d,20050403,0,585,600,560,577,110122,347250340,42,582,آباد,13840114,0,577,46160000000,80000000,,46800000000,48000000000,44800000000,46160000000,46160000000,4.259
ABAD,d,20050404,0,578,578,551,566,69577,215437689,24,577,آباد,13840115,0,566,45280000000,80000000,,46240000000,46240000000,44080000000,45280000000,45280000000,4.26
ABAD,d,20050405,0,554,593,540,560,186084,569668382,71,566,آباد,13840116,0,560,44800000000,80000000,,44320000000,47440000000,43200000000,44800000000,44800000000,4.262
ABAD,d,20050406,0,552,582,547,558,539196,1645898947,127,560,آباد,13840117,0,558,44640000000,80000000,,44160000000,46560000000,43760000000,44640000000,44640000000,4.269
ABAD,d,20050410,0,562,586,562,572,3921412,12041454818,20,558,آباد,13840121,0,572,45760000000,80000000,,44960000000,46880000000,44960000000,45760000000,45760000000,4.318
ABAD,d,20050411,0,601,601,577,577,6615,21728965,7,572,آباد,13840122,0,577,46160000000,80000000,,48080000000,48080000000,46160000000,46160000000,46160000000,4.318
ABAD,d,20050412,0,606,606,585,585,10771,35661631,10,577,آباد,13840123,0,585,46800000000,80000000,,48480000000,48480000000,46800000000,46800000000,46800000000,4.318
ABAD,d,20050413,0,614,614,614,614,51165,171658575,11,585,آباد,13840124,0,614,49120000000,80000000,,49120000000,49120000000,49120000000,49120000000,49120000000,4.319
ABAD,d,20050416,0,644,644,644,644,258765,911370330,79,614,آباد,13840127,0,644,51520000000,80000000,,51520000000,51520000000,51520000000,51520000000,51520000000,4.322
ABAD,d,20050417,0,677,677,628,658,399693,1438549555,154,644,آباد,13840128,0,658,52640000000,80000000,,54160000000,54160000000,50240000000,52640000000,52640000000,4.327
ABAD,d,20050418,0,626,628,626,626,419198,1433846726,104,658,آباد,13840129,0,626,50080000000,80000000,,50080000000,50240000000,50080000000,50080000000,50080000000,4.332
ABAD,d,20050419,0,626,626,598,605,129674,428635210,57,626,آباد,13840130,0,605,48400000000,80000000,,50080000000,50080000000,47840000000,48400000000,48400000000,4.334
ABAD,d,20050420,0,612,626,577,605,3082608,9740568793,60,605,آباد,13840131,0,605,48400000000,80000000,,48960000000,50080000000,46160000000,48400000000,48400000000,4.372
ABAD,d,20050423,0,614,635,614,634,174401,604646179,58,605,آباد,13840203,0,634,50720000000,80000000,,49120000000,50800000000,49120000000,50720000000,50720000000,4.374
ABAD,d,20050424,0,640,666,634,651,312294,1110797328,86,634,آباد,13840204,0,651,52080000000,80000000,,51200000000,53280000000,50720000000,52080000000,52080000000,4.378
